,queried_protein,hit_protein,length,evalue,score,gaps,sequence
7,A0T097,P28253,351,0.0,1757.0,0,sp|P28253.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Galdieria sulphuraria]
8,A0T097,Q9TM47,351,0.0,1750.0,0,sp|Q9TM47.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Cyanidium caldarium]
9,A0T097,Q1XDD0,351,0.0,1745.0,0,sp|Q1XDD0.2| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Neopyropia yezoensis]
10,A0T097,Q85G27,351,0.0,1740.0,0,sp|Q85G27.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Cyanidioschyzon merolae strain 10D]
11,A0T097,O78427,351,0.0,1733.0,0,sp|O78427.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Guillardia theta]
12,A0T097,Q7TTI2,351,0.0,1700.0,0,sp|Q7TTI2.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Parasynechococcus marenigrum WH 8102]
13,A0T097,P56319,352,0.0,1700.0,1,sp|P56319.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Chlorella vulgaris]
14,A0T097,B1WQ89,351,0.0,1698.0,0,sp|B1WQ89.2| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Crocosphaera subtropica ATCC 51142]
15,A0T097,A5GMA8,351,0.0,1698.0,0,sp|A5GMA8.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Synechococcus sp. WH 7803]
16,A0T097,Q3B038,351,0.0,1695.0,0,sp|Q3B038.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Synechococcus sp. CC9902]
17,A0T097,Q3AH25,351,0.0,1695.0,0,sp|Q3AH25.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Synechococcus sp. CC9605]
18,A0T097,Q3MA59,351,0.0,1693.0,0,sp|Q3MA59.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Trichormus variabilis ATCC 29413]
19,A0T097,Q8CM25,352,0.0,1691.0,1,sp|Q8CM25.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem II Q(A) protein [Thermosynechococcus vestitus BP-1]
0,A0T098,A0T098,36,1.0524e-16,163.0,0,sp|A0T098.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Phaeodactylum tricornutum CCAP 1055/1]
1,A0T098,P49484,38,1.51434e-12,136.0,0,sp|P49484.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Trieres chinensis]
2,A0T098,A0T0S9,36,1.80227e-12,135.0,0,sp|A0T0S9.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Thalassiosira pseudonana]
3,A0T098,O96813,36,5.34963e-12,132.0,0,sp|O96813.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Skeletonema costatum]
4,A0T098,Q1XDA0,36,1.53532e-09,116.0,0,sp|Q1XDA0.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Neopyropia yezoensis]
5,A0T098,Q6B8K8,36,2.93608e-09,114.0,0,sp|Q6B8K8.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Gracilaria tenuistipitata var. liui]
6,A0T098,Q8M9X5,36,3.4622e-09,113.0,0,sp|Q8M9X5.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Chaetosphaeridium globosum]
7,A0T098,Q32RX8,36,4.86735e-09,113.0,0,sp|Q32RX8.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Staurastrum punctulatum]
8,A0T098,P51387,36,6.40617e-09,112.0,0,sp|P51387.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Porphyra purpurea]
9,A0T098,Q85CI4,36,7.55409e-09,111.0,0,sp|Q85CI4.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Anthoceros angustus]
10,A0T098,Q8WI10,36,1.05038e-08,110.0,0,sp|Q8WI10.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Psilotum nudum]
11,A0T098,Q3ZJ61,36,1.30855e-08,110.0,0,sp|Q3ZJ61.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Tupiella akineta]
12,A0T098,Q9MUQ4,36,1.59474e-08,109.0,0,sp|Q9MUQ4.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Mesostigma viride]
13,A0T098,Q32RL7,36,1.85995e-08,109.0,0,sp|Q32RL7.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Zygnema circumcarinatum]
14,A0T098,P12185,36,1.9867e-08,109.0,0,sp|P12185.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Marchantia polymorpha]
15,A0T098,O78462,36,3.63579e-08,107.0,0,sp|O78462.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Guillardia theta]
16,A0T098,Q20F22,36,9.05053e-08,104.0,0,sp|Q20F22.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Oltmannsiellopsis viridis]
17,A0T098,Q0P3K0,36,1.05556e-07,104.0,0,sp|Q0P3K0.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Ostreococcus tauri]
18,A0T098,P58214,36,1.16527e-07,103.0,0,sp|P58214.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Chlorella vulgaris]
19,A0T098,P28251,36,1.56772e-07,103.0,0,sp|P28251.1| RecName: Full=Photosystem I reaction center subunit VIII; Short=PSI-I [Angiopteris lygodiifolia]
0,A0T099,A0T099,44,1.05804e-23,210.0,0,sp|A0T099.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Phaeodactylum tricornutum CCAP 1055/1]
1,A0T099,P49513,44,1.06365e-22,203.0,0,sp|P49513.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Trieres chinensis]
2,A0T099,A0T0S8,44,3.10481e-21,194.0,0,sp|A0T0S8.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Thalassiosira pseudonana] >sp|O96812.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Skeletonema costatum]
3,A0T099,P51317,45,1.98546e-18,175.0,0,sp|P51317.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Porphyra purpurea]
4,A0T099,Q10XU6,45,3.36461e-18,174.0,0,sp|Q10XU6.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Trichodesmium erythraeum IMS101]
5,A0T099,Q3M4K0,45,3.5158e-18,174.0,0,sp|Q3M4K0.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Trichormus variabilis ATCC 29413] >sp|Q8YYG5.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Nostoc sp. PCC 7120 = FACHB-418]
6,A0T099,Q1XDH0,45,5.05255e-18,173.0,0,sp|Q1XDH0.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Neopyropia yezoensis]
7,A0T099,B2J4T9,45,6.02376e-18,172.0,0,sp|B2J4T9.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Nostoc punctiforme PCC 73102] >sp|P14089.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Synechococcus elongatus PCC 6301] >sp|Q79AV1.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Synechococcus elongatus PCC 7942 = FACHB-805]
8,A0T099,Q32RW6,58,9.24881e-18,172.0,0,sp|Q32RW6.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Staurastrum punctulatum]
9,A0T099,Q32RP3,58,3.61024e-17,168.0,0,sp|Q32RP3.2| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Zygnema circumcarinatum]
10,A0T099,Q6B8V0,45,3.90078e-17,167.0,0,sp|Q6B8V0.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Gracilaria tenuistipitata var. liui]
11,A0T099,O78504,45,5.13401e-17,166.0,1,sp|O78504.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Guillardia theta]
12,A0T099,Q85FN7,58,5.42016e-17,167.0,0,sp|Q85FN7.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Adiantum capillus-veneris]
13,A0T099,Q8MA00,58,7.87367e-17,166.0,0,sp|Q8MA00.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Chaetosphaeridium globosum]
14,A0T099,Q3ZJ18,44,1.03841e-16,164.0,0,sp|Q3ZJ18.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Tupiella akineta]
15,A0T099,B0C6Z7,45,1.10792e-16,164.0,0,sp|B0C6Z7.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Acaryochloris marina MBIC11017]
16,A0T099,B7JVQ3,45,1.26408e-16,164.0,0,sp|B7JVQ3.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Rippkaea orientalis PCC 8801]
17,A0T099,P15819,45,1.38023e-16,163.0,1,sp|P15819.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Synechocystis sp. PCC 6803 substr. Kazusa]
18,A0T099,Q7U9L1,47,1.6799e-16,163.0,0,sp|Q7U9L1.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Parasynechococcus marenigrum WH 8102]
19,A0T099,P14237,45,1.83665e-16,163.0,0,sp|P14237.1| RecName: Full=Photosystem II reaction center protein K; Short=PSII-K; Flags: Precursor [Cyanophora paradoxa]
0,A0T0A0,A0T0A0,37,3.89731e-19,179.0,0,sp|A0T0A0.1| RecName: Full=Cytochrome b6-f complex subunit 5; AltName: Full=Cytochrome b6-f complex subunit PetG; AltName: Full=Cytochrome b6-f complex subunit V [Phaeodactylum tricornutum CCAP 1055/1]
