Hit,DB,Protein1,Protein2,Organism,Length,Score,Identities,Positives,E
14,swissprot,A0A386KZ95,Q96323,Arabidopsis thaliana,356,134.0,19.38,33.99,1.54443e-07
15,swissprot,A0A386KZ95,Q9M547,Eustoma grandiflorum,334,133.0,21.56,34.73,1.89757e-07
16,swissprot,A0A386KZ95,Q7XZQ6,Petroselinum crispum,337,132.0,23.44,37.98,2.14005e-07
17,swissprot,A0A386KZ95,P08703,Penicillium chrysogenum,331,132.0,24.17,37.46,2.41277e-07
18,swissprot,A0A386KZ95,Q39224,Arabidopsis thaliana,358,132.0,19.55,34.64,2.59389e-07
19,swissprot,A0A386KZ95,P12438,Streptomyces microflavus,333,127.0,23.12,36.64,9.22545e-07
20,swissprot,A0A386KZ95,P51091,Malus domestica,357,127.0,23.53,38.66,9.48801e-07
1,swissprot,A0A386KZI3,A0A386KZI3,Pseudo-nitzschia multiseries,559,3014.0,100.00,100.00,0.0
2,swissprot,A0A386KZI3,P29981,Blaberus discoidalis,511,471.0,23.48,42.27,5.29345e-51
3,swissprot,A0A386KZI3,Q86W10,Homo sapiens,505,470.0,25.54,40.00,5.55034e-51
4,swissprot,A0A386KZI3,Q8N118,Homo sapiens,509,465.0,24.75,39.29,3.14879e-50
5,swissprot,A0A386KZI3,Q9GJX5,Sus scrofa,504,463.0,26.79,44.25,6.0754e-50
6,swissprot,A0A386KZI3,P10611,Oryctolagus cuniculus,510,459.0,25.10,42.35,2.70696e-49
7,swissprot,A0A386KZI3,Q8SPK0,Sus scrofa,504,453.0,26.98,44.84,1.5637e-48
8,swissprot,A0A386KZI3,P14580,Oryctolagus cuniculus,510,453.0,24.90,40.59,1.93293e-48
9,swissprot,A0A386KZI3,Q6A152,Mus musculus,507,448.0,23.08,38.86,6.81749e-48
10,swissprot,A0A386KZI3,P14579,Oryctolagus cuniculus,511,448.0,24.66,41.68,9.43775e-48
11,swissprot,A0A386KZI3,P08516,Rattus norvegicus,509,446.0,24.17,40.67,1.68589e-47
12,swissprot,A0A386KZI3,P14581,Oryctolagus cuniculus,511,442.0,25.64,42.47,6.6192e-47
13,swissprot,A0A386KZI3,P20816,Rattus norvegicus,504,441.0,23.41,40.48,7.21956e-47
14,swissprot,A0A386KZI3,Q64581,Rattus norvegicus,497,440.0,24.75,39.64,7.78112e-47
15,swissprot,A0A386KZI3,Q8SPK1,Sus scrofa,504,439.0,27.58,45.04,1.41904e-46
16,swissprot,A0A386KZI3,Q29496,Ovis aries,503,434.0,24.25,38.97,6.25422e-46
17,swissprot,A0A386KZI3,Q02928,Homo sapiens,519,433.0,23.31,38.15,1.19628e-45
18,swissprot,A0A386KZI3,Q8K4D6,Rattus norvegicus,507,432.0,23.08,38.26,1.27715e-45
19,swissprot,A0A386KZI3,P20817,Rattus norvegicus,507,430.0,23.08,40.24,2.3574e-45
20,swissprot,A0A386KZI3,Q964T1,Blattella germanica,501,425.0,23.55,39.92,1.30752e-44
1,swissprot,A0A386L1Q6,A0A386L1Q6,Pseudo-nitzschia multiseries,249,1353.0,100.00,100.00,0.0
2,swissprot,A0A386L1Q6,P27206,Bacillus subtilis subsp. subtilis str. 168,3587,78.0,0.70,1.09,0.880884
3,swissprot,A0A386L1Q6,Q96W30,Paracoccidioides lutzii Pb01,654,76.0,3.82,5.35,1.35019
4,swissprot,A0A386L1Q6,Q05944,Hydra vulgaris,654,76.0,3.82,5.50,1.41139
5,swissprot,A0A386L1Q6,Q02LI9,Pseudomonas aeruginosa UCBPP-PA14,409,74.0,6.60,10.27,1.83307
6,swissprot,A0A386L1Q6,Q9I273,Pseudomonas aeruginosa PAO1,409,74.0,6.60,10.27,1.88277
7,swissprot,A0A386L1Q6,B7VA62,Pseudomonas aeruginosa LESB58,409,74.0,6.60,10.27,1.89964
8,swissprot,A0A386L1Q6,P40918,Cladosporium herbarum,643,72.0,3.73,5.29,3.59865
9,swissprot,A0A386L1Q6,Q00043,Histoplasma capsulatum,705,70.0,3.26,4.96,6.66295
10,swissprot,A0A386L1Q6,Q9KNC9,Vibrio cholerae O1 biovar El Tor str. N16961,405,70.0,5.68,7.90,7.20501
11,swissprot,A0A386L1Q6,P27024,Human respiratory syncytial virus (strain RSB6190),298,69.0,5.37,7.38,8.00736
1,swissprot,A0T097,A0T097,Phaeodactylum tricornutum CCAP 1055/1,351,1842.0,100.00,100.00,0.0
2,swissprot,A0T097,P49478,Trieres chinensis,351,1821.0,98.01,99.43,0.0
3,swissprot,A0T097,B2XT21,Heterosigma akashiwo NIES-293,351,1818.0,97.44,99.72,0.0
4,swissprot,A0T097,A0T0T0,Thalassiosira pseudonana,351,1801.0,96.30,98.86,0.0
5,swissprot,A0T097,Q6B918,Gracilaria tenuistipitata var. liui,351,1771.0,94.59,98.29,0.0
6,swissprot,A0T097,P51357,Porphyra purpurea,351,1765.0,94.30,97.72,0.0
7,swissprot,A0T097,Q4G395,Emiliania huxleyi,351,1759.0,94.30,98.01,0.0
8,swissprot,A0T097,P28253,Galdieria sulphuraria,351,1757.0,93.45,97.72,0.0
9,swissprot,A0T097,Q9TM47,Cyanidium caldarium,351,1750.0,93.45,97.72,0.0
10,swissprot,A0T097,Q1XDD0,Neopyropia yezoensis,351,1745.0,93.45,97.15,0.0
11,swissprot,A0T097,Q85G27,Cyanidioschyzon merolae strain 10D,351,1740.0,92.88,97.15,0.0
12,swissprot,A0T097,O78427,Guillardia theta,351,1733.0,91.45,97.15,0.0
13,swissprot,A0T097,Q7TTI2,Parasynechococcus marenigrum WH 8102,351,1700.0,89.46,96.30,0.0
14,swissprot,A0T097,P56319,Chlorella vulgaris,352,1700.0,90.06,95.17,0.0
15,swissprot,A0T097,B1WQ89,Crocosphaera subtropica ATCC 51142,351,1698.0,90.31,95.44,0.0
16,swissprot,A0T097,A5GMA8,Synechococcus sp. WH 7803,351,1698.0,89.46,96.30,0.0
17,swissprot,A0T097,Q3B038,Synechococcus sp. CC9902,351,1695.0,88.89,96.01,0.0
18,swissprot,A0T097,Q3AH25,Synechococcus sp. CC9605,351,1695.0,89.17,96.01,0.0
19,swissprot,A0T097,Q3MA59,Trichormus variabilis ATCC 29413,351,1693.0,90.31,95.73,0.0
20,swissprot,A0T097,Q8CM25,Thermosynechococcus vestitus BP-1,352,1691.0,89.20,96.31,0.0
1,swissprot,A0T098,A0T098,Phaeodactylum tricornutum CCAP 1055/1,36,163.0,100.00,100.00,1.0524e-16
2,swissprot,A0T098,P49484,Trieres chinensis,38,136.0,73.68,86.84,1.51434e-12
3,swissprot,A0T098,A0T0S9,Thalassiosira pseudonana,36,135.0,75.00,88.89,1.80227e-12
4,swissprot,A0T098,O96813,Skeletonema costatum,36,132.0,72.22,91.67,5.34963e-12
5,swissprot,A0T098,Q1XDA0,Neopyropia yezoensis,36,116.0,63.89,83.33,1.53532e-09
6,swissprot,A0T098,Q6B8K8,Gracilaria tenuistipitata var. liui,36,114.0,58.33,80.56,2.93608e-09
7,swissprot,A0T098,Q8M9X5,Chaetosphaeridium globosum,36,113.0,66.67,83.33,3.4622e-09
8,swissprot,A0T098,Q32RX8,Staurastrum punctulatum,36,113.0,61.11,83.33,4.86735e-09
9,swissprot,A0T098,P51387,Porphyra purpurea,36,112.0,61.11,80.56,6.40617e-09
10,swissprot,A0T098,Q85CI4,Anthoceros angustus,36,111.0,61.11,80.56,7.55409e-09
11,swissprot,A0T098,Q8WI10,Psilotum nudum,36,110.0,61.11,77.78,1.05038e-08
12,swissprot,A0T098,Q3ZJ61,Tupiella akineta,36,110.0,58.33,80.56,1.30855e-08
13,swissprot,A0T098,Q9MUQ4,Mesostigma viride,36,109.0,61.11,83.33,1.59474e-08
14,swissprot,A0T098,Q32RL7,Zygnema circumcarinatum,36,109.0,58.33,80.56,1.85995e-08
15,swissprot,A0T098,P12185,Marchantia polymorpha,36,109.0,58.33,77.78,1.9867e-08
16,swissprot,A0T098,O78462,Guillardia theta,36,107.0,55.56,77.78,3.63579e-08
17,swissprot,A0T098,Q20F22,Oltmannsiellopsis viridis,36,104.0,58.33,77.78,9.05053e-08
18,swissprot,A0T098,Q0P3K0,Ostreococcus tauri,36,104.0,58.33,77.78,1.05556e-07
19,swissprot,A0T098,P58214,Chlorella vulgaris,36,103.0,55.56,80.56,1.16527e-07
20,swissprot,A0T098,P28251,Angiopteris lygodiifolia,36,103.0,58.33,75.00,1.56772e-07
1,swissprot,A0T099,A0T099,Phaeodactylum tricornutum CCAP 1055/1,44,210.0,100.00,100.00,1.05804e-23
2,swissprot,A0T099,P49513,Trieres chinensis,44,203.0,95.45,100.00,1.06365e-22
3,swissprot,A0T099,A0T0S8,Thalassiosira pseudonana,44,194.0,86.36,97.73,3.10481e-21
4,swissprot,A0T099,P51317,Porphyra purpurea,45,175.0,75.56,84.44,1.98546e-18
5,swissprot,A0T099,Q10XU6,Trichodesmium erythraeum IMS101,45,174.0,73.33,88.89,3.36461e-18
6,swissprot,A0T099,Q3M4K0,Trichormus variabilis ATCC 29413,45,174.0,75.56,86.67,3.5158e-18
7,swissprot,A0T099,Q1XDH0,Neopyropia yezoensis,45,173.0,71.11,84.44,5.05255e-18
8,swissprot,A0T099,B2J4T9,Nostoc punctiforme PCC 73102,45,172.0,73.33,86.67,6.02376e-18
9,swissprot,A0T099,Q32RW6,Staurastrum punctulatum,58,172.0,55.17,67.24,9.24881e-18
10,swissprot,A0T099,Q32RP3,Zygnema circumcarinatum,58,168.0,53.45,67.24,3.61024e-17
11,swissprot,A0T099,Q6B8V0,Gracilaria tenuistipitata var. liui,45,167.0,66.67,88.89,3.90078e-17
12,swissprot,A0T099,O78504,Guillardia theta,45,166.0,73.33,88.89,5.13401e-17
13,swissprot,A0T099,Q85FN7,Adiantum capillus-veneris,58,167.0,53.45,63.79,5.42016e-17
14,swissprot,A0T099,Q8MA00,Chaetosphaeridium globosum,58,166.0,53.45,62.07,7.87367e-17
15,swissprot,A0T099,Q3ZJ18,Tupiella akineta,44,164.0,72.73,86.36,1.03841e-16
16,swissprot,A0T099,B0C6Z7,Acaryochloris marina MBIC11017,45,164.0,68.89,86.67,1.10792e-16
17,swissprot,A0T099,B7JVQ3,Rippkaea orientalis PCC 8801,45,164.0,68.89,84.44,1.26408e-16
18,swissprot,A0T099,P15819,Synechocystis sp. PCC 6803 substr. Kazusa,45,163.0,71.11,91.11,1.38023e-16
19,swissprot,A0T099,Q7U9L1,Parasynechococcus marenigrum WH 8102,47,163.0,63.83,80.85,1.6799e-16
20,swissprot,A0T099,P14237,Cyanophora paradoxa,45,163.0,68.89,84.44,1.83665e-16
1,swissprot,A0T0A0,A0T0A0,Phaeodactylum tricornutum CCAP 1055/1,37,179.0,100.00,100.00,3.89731e-19
2,swissprot,A0T0A0,P49470,Trieres chinensis,37,175.0,94.59,100.00,1.5228e-18
3,swissprot,A0T0A0,A0T0S7,Thalassiosira pseudonana,37,174.0,94.59,97.30,2.44282e-18
4,swissprot,A0T0A0,P14236,Cyanophora paradoxa,37,154.0,83.78,91.89,2.08252e-15
5,swissprot,A0T0A0,Q6B8U9,Gracilaria tenuistipitata var. liui,37,141.0,78.38,83.78,2.17546e-13
6,swissprot,A0T0A0,A6MVZ4,Rhodomonas salina,37,139.0,75.68,86.49,4.59309e-13
7,swissprot,A0T0A0,O78505,Guillardia theta,37,137.0,75.68,83.78,8.13376e-13
8,swissprot,A0T0A0,Q32RH6,Zygnema circumcarinatum,37,136.0,70.27,86.49,1.20813e-12
9,swissprot,A0T0A0,Q32RT5,Staurastrum punctulatum,37,136.0,70.27,86.49,1.29047e-12
10,swissprot,A0T0A0,Q8WI02,Psilotum nudum,37,135.0,67.57,89.19,1.8546e-12
11,swissprot,A0T0A0,Q4G378,Emiliania huxleyi,37,135.0,75.68,83.78,2.18697e-12
12,swissprot,A0T0A0,Q8M9Y4,Chaetosphaeridium globosum,37,135.0,70.27,83.78,2.26027e-12
13,swissprot,A0T0A0,Q1ACI5,Chara vulgaris,37,133.0,70.27,83.78,3.50809e-12
14,swissprot,A0T0A0,B2X1V8,Oedogonium cardiacum,37,133.0,70.27,81.08,4.04684e-12
15,swissprot,A0T0A0,B2Y1X8,Welwitschia mirabilis,37,133.0,70.27,86.49,4.32268e-12
16,swissprot,A0T0A0,P12120,Marchantia polymorpha,37,133.0,70.27,86.49,4.56685e-12
17,swissprot,A0T0A0,Q9Z3G1,Synechococcus elongatus PCC 7942 = FACHB-805,37,131.0,67.57,81.08,7.82491e-12
18,swissprot,A0T0A0,B0JUK8,Microcystis aeruginosa NIES-843,38,130.0,65.79,81.58,1.01422e-11
19,swissprot,A0T0A0,Q19VC5,Chlorokybus atmophyticus,37,130.0,70.27,81.08,1.05279e-11
20,swissprot,A0T0A0,Q1XDG9,Neopyropia yezoensis,37,130.0,70.27,81.08,1.1001e-11
1,swissprot,A0T0A1,A0T0A1,Phaeodactylum tricornutum CCAP 1055/1,31,149.0,100.00,100.00,8.88824e-15
2,swissprot,A0T0A1,P49524,Trieres chinensis,31,135.0,87.10,96.77,1.23499e-12
3,swissprot,A0T0A1,A0T0U4,Thalassiosira pseudonana,31,118.0,74.19,93.55,5.37826e-10
4,swissprot,A0T0A1,Q4G3B0,Emiliania huxleyi,31,69.0,45.16,70.97,0.0150207
5,swissprot,A0T0A1,O78468,Guillardia theta,31,60.0,41.94,67.74,0.327881
6,swissprot,A0T0A1,P96641,Bacillus subtilis subsp. subtilis str. 168,174,64.0,6.90,9.20,0.363033
7,swissprot,A0T0A1,Q1XDR6,Neopyropia yezoensis,31,60.0,41.94,70.97,0.3823
8,swissprot,A0T0A1,P22897,Homo sapiens,1456,61.0,0.76,0.96,1.01929
9,swissprot,A0T0A1,A6MVV7,Rhodomonas salina,31,56.0,41.94,64.52,1.64355
10,swissprot,A0T0A1,P51221,Porphyra purpurea,31,55.0,41.94,70.97,2.06899
11,swissprot,A0T0A1,Q61830,Mus musculus,1456,58.0,0.69,1.03,2.66754
12,swissprot,A0T0A1,A7M981,Cuscuta reflexa,31,52.0,38.71,51.61,5.25206
13,swissprot,A0T0A1,C1ATN6,Rhodococcus opacus B4,373,55.0,2.95,3.49,5.93701
14,swissprot,A0T0A1,Q0S6R3,Rhodococcus jostii RHA1,373,55.0,2.95,3.49,5.93701
15,swissprot,A0T0A1,P00644,Staphylococcus aureus,231,55.0,4.76,6.06,6.39219
1,swissprot,A0T0A2,A0T0A2,Phaeodactylum tricornutum CCAP 1055/1,181,927.0,100.00,100.00,9.4618e-129
2,swissprot,A0T0A2,A0T0U3,Thalassiosira pseudonana,181,772.0,78.45,90.61,3.38667e-105
3,swissprot,A0T0A2,P49526,Trieres chinensis,181,759.0,77.90,87.29,3.4243e-103
4,swissprot,A0T0A2,P51220,Porphyra purpurea,186,576.0,54.84,76.88,2.84964e-75
5,swissprot,A0T0A2,Q1XDR7,Neopyropia yezoensis,186,564.0,53.76,76.34,2.1701e-73
6,swissprot,A0T0A2,Q6B8P5,Gracilaria tenuistipitata var. liui,184,517.0,52.72,71.20,2.73491e-66
7,swissprot,A0T0A2,Q19V70,Chlorokybus atmophyticus,189,510.0,49.21,68.25,3.79928e-65
8,swissprot,A0T0A2,Q118V7,Trichodesmium erythraeum IMS101,187,497.0,50.27,66.31,3.46751e-63
9,swissprot,A0T0A2,Q20EU3,Oltmannsiellopsis viridis,182,494.0,49.45,69.23,9.10254e-63
10,swissprot,A0T0A2,Q4G3A9,Emiliania huxleyi,174,480.0,51.72,71.26,7.00746e-61
11,swissprot,A0T0A2,B2J2W1,Nostoc punctiforme PCC 73102,189,474.0,47.09,66.14,9.71175e-60
12,swissprot,A0T0A2,Q3ZJ14,Tupiella akineta,182,473.0,46.15,68.13,1.17801e-59
13,swissprot,A0T0A2,A6MVV6,Rhodomonas salina,179,473.0,53.07,69.83,1.3323e-59
14,swissprot,A0T0A2,B7JVR2,Rippkaea orientalis PCC 8801,188,471.0,46.81,65.96,2.65445e-59
15,swissprot,A0T0A2,Q5N3Q6,Synechococcus elongatus PCC 6301,188,467.0,46.28,65.43,1.15871e-58
16,swissprot,A0T0A2,Q9MUN8,Mesostigma viride,187,466.0,42.78,68.45,1.79523e-58
17,swissprot,A0T0A2,P72705,Synechocystis sp. PCC 6803 substr. Kazusa,188,466.0,45.21,67.55,2.02176e-58
18,swissprot,A0T0A2,Q3MDS1,Trichormus variabilis ATCC 29413,198,466.0,43.94,63.13,2.45421e-58
19,swissprot,A0T0A2,Q06SF8,Stigeoclonium helveticum,183,464.0,46.99,66.67,2.94797e-58
20,swissprot,A0T0A2,Q9TKZ3,Nephroselmis olivacea,183,462.0,45.36,68.85,5.61359e-58
1,swissprot,A0T0A3,A0T0A3,Phaeodactylum tricornutum CCAP 1055/1,84,439.0,100.00,100.00,1.61781e-57
2,swissprot,A0T0A3,A0T0U2,Thalassiosira pseudonana,84,434.0,96.43,100.00,1.09355e-56
3,swissprot,A0T0A3,Q6B8K4,Gracilaria tenuistipitata var. liui,84,431.0,94.05,100.00,3.20814e-56
4,swissprot,A0T0A3,P51391,Porphyra purpurea,84,428.0,92.86,100.00,9.51549e-56
5,swissprot,A0T0A3,O78466,Guillardia theta,84,428.0,92.86,100.00,1.01636e-55
6,swissprot,A0T0A3,Q4G380,Emiliania huxleyi,84,426.0,95.24,98.81,1.85937e-55
7,swissprot,A0T0A3,Q85FQ2,Cyanidioschyzon merolae strain 10D,81,399.0,88.89,97.53,2.3201e-51
8,swissprot,A0T0A3,Q9TM20,Cyanidium caldarium,84,398.0,83.33,97.62,3.64374e-51
9,swissprot,A0T0A3,Q5N556,Synechococcus elongatus PCC 6301,83,363.0,73.49,92.77,7.66378e-46
10,swissprot,A0T0A3,Q10YT0,Trichodesmium erythraeum IMS101,82,359.0,73.17,93.90,3.24023e-45
11,swissprot,A0T0A3,Q9TKY1,Nephroselmis olivacea,83,356.0,75.90,91.57,7.51857e-45
12,swissprot,A0T0A3,Q9MUQ0,Mesostigma viride,81,356.0,80.25,88.89,8.73524e-45
13,swissprot,A0T0A3,Q1ACI7,Chara vulgaris,83,352.0,71.08,91.57,3.65312e-44
14,swissprot,A0T0A3,Q2JLF0,Synechococcus sp. JA-2-3B'a(2-13),81,351.0,74.07,92.59,4.84226e-44
15,swissprot,A0T0A3,Q8M9W8,Chaetosphaeridium globosum,83,351.0,72.29,90.36,5.36445e-44
16,swissprot,A0T0A3,Q0P3N6,Ostreococcus tauri,82,348.0,71.95,90.24,1.38393e-43
17,swissprot,A0T0A3,Q3MC09,Trichormus variabilis ATCC 29413,82,348.0,70.73,91.46,1.52764e-43
18,swissprot,A0T0A3,Q2JS34,Synechococcus sp. JA-3-3Ab,81,346.0,71.60,92.59,2.83552e-43
19,swissprot,A0T0A3,B0JLV1,Microcystis aeruginosa NIES-843,81,344.0,71.60,88.89,5.07353e-43
20,swissprot,A0T0A3,Q3ZJ22,Tupiella akineta,83,344.0,69.88,89.16,5.93701e-43
1,swissprot,A0T0A4,A0T0A4,Phaeodactylum tricornutum CCAP 1055/1,43,220.0,100.00,100.00,2.97791e-25
2,swissprot,A0T0A4,P49474,Trieres chinensis,43,216.0,97.67,97.67,1.1013e-24
3,swissprot,A0T0A4,A0T0U1,Thalassiosira pseudonana,43,215.0,95.35,97.67,1.54835e-24
4,swissprot,A0T0A4,P51390,Porphyra purpurea,44,191.0,81.82,86.36,7.1598e-21
5,swissprot,A0T0A4,Q6B8K5,Gracilaria tenuistipitata var. liui,44,186.0,77.27,86.36,4.53647e-20
6,swissprot,A0T0A4,O78465,Guillardia theta,42,184.0,78.57,88.10,7.71219e-20
7,swissprot,A0T0A4,Q4G381,Emiliania huxleyi,42,184.0,80.95,85.71,7.88358e-20
8,swissprot,A0T0A4,Q9TM21,Cyanidium caldarium,43,180.0,81.40,86.05,3.87253e-19
9,swissprot,A0T0A4,Q3MC10,Trichormus variabilis ATCC 29413,45,176.0,71.11,77.78,1.47634e-18
10,swissprot,A0T0A4,B7K625,Rippkaea orientalis PCC 8801,44,174.0,68.18,84.09,2.82632e-18
11,swissprot,A0T0A4,Q8YQI1,Nostoc sp. PCC 7120 = FACHB-418,45,173.0,68.89,77.78,3.92585e-18
12,swissprot,A0T0A4,Q85FQ3,Cyanidioschyzon merolae strain 10D,40,172.0,80.00,85.00,4.99134e-18
13,swissprot,A0T0A4,Q10YS9,Trichodesmium erythraeum IMS101,44,170.0,68.18,81.82,1.48549e-17
14,swissprot,A0T0A4,B2J6T1,Nostoc punctiforme PCC 73102,45,169.0,68.89,73.33,1.73063e-17
15,swissprot,A0T0A4,Q8RSW2,Synechococcus sp. PCC 7002,43,169.0,72.09,81.40,1.75426e-17
16,swissprot,A0T0A4,Q06J12,Bigelowiella natans,51,169.0,56.86,66.67,1.88964e-17
17,swissprot,A0T0A4,B0JLV0,Microcystis aeruginosa NIES-843,44,168.0,68.18,81.82,2.77906e-17
18,swissprot,A0T0A4,Q2JLE9,Synechococcus sp. JA-2-3B'a(2-13),43,167.0,72.09,81.40,3.14079e-17
19,swissprot,A0T0A4,P09191,Synechocystis sp. PCC 6803 substr. Kazusa,44,167.0,68.18,79.55,3.53909e-17
20,swissprot,A0T0A4,P19153,Cyanophora paradoxa,42,166.0,73.81,80.95,4.77763e-17
1,swissprot,A0T0A5,A0T0A5,Phaeodactylum tricornutum CCAP 1055/1,38,192.0,100.00,100.00,4.10186e-21
2,swissprot,A0T0A5,A6MVV3,Rhodomonas salina,38,179.0,92.11,97.37,4.23923e-19
3,swissprot,A0T0A5,Q5SD41,Huperzia lucidula,38,178.0,92.11,97.37,4.89033e-19
4,swissprot,A0T0A5,Q32RJ7,Zygnema circumcarinatum,38,178.0,92.11,97.37,4.89033e-19
5,swissprot,A0T0A5,Q85FQ4,Cyanidioschyzon merolae strain 10D,38,178.0,89.47,94.74,4.94437e-19
6,swissprot,A0T0A5,P60151,Marchantia polymorpha,38,178.0,92.11,97.37,5.64144e-19
7,swissprot,A0T0A5,O78464,Guillardia theta,38,178.0,89.47,97.37,6.09259e-19
8,swissprot,A0T0A5,A2T348,Angiopteris evecta,38,177.0,92.11,94.74,8.01921e-19
9,swissprot,A0T0A5,Q0P3N8,Ostreococcus tauri,38,177.0,92.11,92.11,9.04975e-19
10,swissprot,A0T0A5,Q6B8K6,Gracilaria tenuistipitata var. liui,38,175.0,89.47,97.37,1.32953e-18
11,swissprot,A0T0A5,Q9TKY3,Nephroselmis olivacea,38,175.0,89.47,92.11,1.40464e-18
12,swissprot,A0T0A5,Q4G382,Emiliania huxleyi,38,175.0,89.47,94.74,1.51697e-18
13,swissprot,A0T0A5,Q9MUQ2,Mesostigma viride,38,174.0,89.47,92.11,1.95325e-18
14,swissprot,A0T0A5,Q8M9W9,Chaetosphaeridium globosum,38,174.0,89.47,97.37,2.13277e-18
15,swissprot,A0T0A5,Q85A78,Anthoceros angustus,38,173.0,89.47,94.74,2.8072e-18
16,swissprot,A0T0A5,P56339,Chlorella vulgaris,38,173.0,89.47,92.11,3.16795e-18
17,swissprot,A0T0A5,P51389,Porphyra purpurea,38,172.0,86.84,97.37,3.90362e-18
18,swissprot,A0T0A5,B0YPP4,Aneura mirabilis,38,172.0,89.47,94.74,4.35712e-18
19,swissprot,A0T0A5,Q8HRZ5,Ephedra sinica,38,172.0,89.47,94.74,5.08187e-18
20,swissprot,A0T0A5,Q85FK7,Adiantum capillus-veneris,38,171.0,89.47,94.74,5.79831e-18
1,swissprot,A0T0A6,A0T0A6,Phaeodactylum tricornutum CCAP 1055/1,39,180.0,100.00,100.00,3.00494e-19
2,swissprot,A0T0A6,P49512,Trieres chinensis,39,166.0,89.74,97.44,3.35346e-17
3,swissprot,A0T0A6,A0T0T9,Thalassiosira pseudonana,39,160.0,84.62,92.31,3.44644e-16
4,swissprot,A0T0A6,Q6B8K7,Gracilaria tenuistipitata var. liui,39,152.0,79.49,92.31,4.81805e-15
5,swissprot,A0T0A6,Q85FQ5,Cyanidioschyzon merolae strain 10D,39,151.0,79.49,92.31,6.77377e-15
6,swissprot,A0T0A6,P51388,Porphyra purpurea,39,150.0,79.49,89.74,1.21281e-14
7,swissprot,A0T0A6,Q1XD99,Neopyropia yezoensis,39,150.0,79.49,89.74,1.28132e-14
8,swissprot,A0T0A6,A6MVV2,Rhodomonas salina,39,141.0,71.79,87.18,2.8417e-13
9,swissprot,A0T0A6,O78463,Guillardia theta,39,138.0,66.67,89.74,7.23194e-13
10,swissprot,A0T0A6,Q19V80,Chlorokybus atmophyticus,42,137.0,69.05,73.81,1.04165e-12
11,swissprot,A0T0A6,Q9TM23,Cyanidium caldarium,39,136.0,74.36,87.18,1.54371e-12
12,swissprot,A0T0A6,P19053,Secale cereale,40,132.0,67.50,80.00,5.81541e-12
13,swissprot,A0T0A6,P13555,Pisum sativum,40,132.0,72.50,85.00,5.87967e-12
14,swissprot,A0T0A6,P0C414,Oryza sativa,40,131.0,67.50,80.00,9.43121e-12
15,swissprot,A0T0A6,Q6YXL6,Physcomitrium patens,40,129.0,72.50,85.00,1.78388e-11
16,swissprot,A0T0A6,P12188,Marchantia polymorpha,40,128.0,70.00,85.00,2.5079e-11
