Protein1,Protein2,DB,Organism,Length,Score,Identities,Positives,E
A0A386KZI3,Q86W10,SP,Homo sapiens ,505,651,31.6,57.7,6e-36
A0A386KZI3,P08516,SP,Rattus norvegicus ,509,629,29.4,59.9,1.8e-35
A0A386KZI3,P29981,SP,Blaberus discoidalis ,511,635,28.3,62.3,4.8e-35
A0A386KZI3,P14580,SP,Oryctolagus cuniculus ,510,626,30.5,59.5,6.6e-35
A0A386KZI3,Q8N118,SP,Homo sapiens ,509,645,29.7,57.0,7.7e-35
A0A386KZI3,Q02928,SP,Homo sapiens ,519,622,28.9,57.7,9.2e-35
A0A386KZI3,Q6A152,SP,Mus musculus ,507,642,30.3,56.4,1.2e-34
A0A386KZI3,P14579,SP,Oryctolagus cuniculus ,511,623,28.3,56.6,2.3e-34
A0A386KZI3,P14581,SP,Oryctolagus cuniculus ,511,626,29.7,57.7,2.3e-34
A0A386KZI3,P20817,SP,Rattus norvegicus ,507,612,29.0,60.6,2.7e-34
A0A386KZI3,O88833,SP,Mus musculus ,509,608,28.5,59.9,5.1e-34
A0A386KZI3,O35728,SP,Mus musculus ,507,607,29.0,59.4,6e-34
A0A386KZI3,Q9GJX5,SP,Sus scrofa ,504,649,28.6,60.1,6.9e-34
A0A386KZI3,Q9HBI6,SP,Homo sapiens ,524,616,30.2,57.3,1.2e-33
A0A386KZI3,P20816,SP,Rattus norvegicus ,504,623,30.0,60.6,1.8e-33
A0A386KZI3,P15128,SP,Oryctolagus cuniculus ,506,603,29.5,59.2,1.8e-33
A0A386KZI3,Q8K4D6,SP,Rattus norvegicus ,507,616,30.4,55.6,2.5e-33
A0A386KZI3,Q8SPK0,SP,Sus scrofa ,504,638,29.5,57.8,2.9e-33
A0A386L1Q6,A0A386L1Q6,SP,Pseudo-nitzschia multiseries ,249,1706,100.0,100.0,2.6e-119
A0A386L1Q6,A2AS55,SP,Mus musculus ,361,111,27.2,51.8,1.0
A0A386L1Q6,B7VA62,SP,Pseudomonas aeruginosa (strain LESB58) ,409,107,29.1,59.1,2.4
A0A386L1Q6,Q9I273,SP,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) ,409,107,29.1,59.1,2.4
A0A386L1Q6,Q02LI9,SP,Pseudomonas aeruginosa (strain UCBPP-PA14) ,409,107,29.1,59.1,2.4
A0A386L1Q6,A8MS78,SP,Arabidopsis thaliana ,127,98,29.7,60.8,2.4
A0A386L1Q6,Q6HDE5,SP,Bacillus thuringiensis subsp. konkukian (strain 97-27) ,212,97,36.8,51.7,5.6
A0A386L1Q6,A0RIZ3,SP,Bacillus thuringiensis (strain Al Hakam) ,212,97,36.8,51.7,5.6
A0A386L1Q6,C3P969,SP,Bacillus anthracis (strain A0248) ,212,97,36.8,51.7,5.6
A0A386L1Q6,Q634G4,SP,Bacillus cereus (strain ZK / E33L) ,212,97,36.8,51.7,5.6
A0A386L1Q6,C3L5Y6,SP,Bacillus anthracis (strain CDC 684 / NRRL 3495) ,212,97,36.8,51.7,5.6
A0A386L1Q6,Q81LK8,SP,Bacillus anthracis ,212,97,36.8,51.7,5.6
A0A386L1Q6,C1ESS5,SP,Bacillus cereus (strain 03BB102) ,212,97,36.8,51.7,5.6
A0A386L1Q6,B7JP70,SP,Bacillus cereus (strain AH820) ,212,97,36.8,51.7,5.6
A0A386L1Q6,Q05944,SP,Hydra vulgaris ,654,105,26.3,51.3,6.3
A0A386L1Q6,Q76LC6,SP,Danio rerio ,230,96,27.4,51.9,7.4
A0A386L1Q6,Q9KNC9,SP,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961) ,405,99,26.9,54.6,9.3
A0A386L1Q6,Q499M5,SP,Rattus norvegicus ,370,98,25.4,51.8,9.8
A0A386L1Q6,Q88S51,SP,Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) ,427,99,28.8,60.6,10.0
A0T097,A0T097,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,351,2409,100.0,100.0,3.8e-158
A0T097,P49478,SP,Trieres chinensis ,351,2387,98.0,100.0,1.2e-156
A0T097,B2XTH7,SP,Heterosigma akashiwo (strain CCMP452 / OLISTH) ,351,2382,97.4,100.0,2.8e-156
A0T097,B2XT21,SP,Heterosigma akashiwo (strain NIES-293 / 8280G21-1) ,351,2382,97.4,100.0,2.8e-156
A0T097,A0T0T0,SP,Thalassiosira pseudonana ,351,2361,96.3,100.0,7.6e-155
A0T097,Q6B918,SP,Gracilaria tenuistipitata var. liui ,351,2326,94.6,99.1,1.9e-152
A0T097,P51357,SP,Porphyra purpurea ,351,2323,94.3,99.1,3.1e-152
A0T097,Q4G395,SP,Emiliania huxleyi ,351,2313,94.3,98.9,1.5e-151
A0T097,Q9TM47,SP,Cyanidium caldarium ,351,2303,93.4,99.4,7.4e-151
A0T097,P28253,SP,Galdieria sulphuraria ,351,2303,93.4,99.1,7.4e-151
A0T097,Q1XDD0,SP,Neopyropia yezoensis ,351,2302,93.4,98.6,8.6e-151
A0T097,Q85G27,SP,Cyanidioschyzon merolae (strain NIES-3377 / 10D) ,351,2291,92.9,99.4,4.9e-150
A0T097,O78427,SP,Guillardia theta ,351,2277,91.5,99.1,4.5e-149
A0T097,B1WQ89,SP,Crocosphaera subtropica (strain ATCC 51142 / BH68) ,351,2240,90.3,97.4,1.6e-146
A0T097,Q7TTI2,SP,Parasynechococcus marenigrum (strain WH8102) ,351,2236,89.5,97.2,3e-146
A0T097,A5GMA8,SP,Synechococcus sp. (strain WH7803) ,351,2235,89.5,97.2,3.5e-146
A0T097,Q8CM25,SP,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1) ,352,2234,89.2,97.7,4.1e-146
A0T097,Q3MA59,SP,Trichormus variabilis (strain ATCC 29413 / PCC 7937) ,351,2233,90.3,97.2,4.7e-146
A0T097,A5GQK3,SP,Synechococcus sp. (strain RCC307) ,352,2233,89.8,96.6,4.8e-146
A0T097,Q3AH25,SP,Synechococcus sp. (strain CC9605) ,351,2228,89.2,97.2,1e-145
A0T098,A0T098,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,36,223,100.0,100.0,3.1e-15
A0T098,P49484,SP,Trieres chinensis ,38,192,77.8,94.4,3.8e-12
A0T098,A0T0S9,SP,Thalassiosira pseudonana ,36,188,75.0,97.2,8.9e-12
A0T098,O96813,SP,Skeletonema costatum ,36,183,72.2,97.2,2.8e-11
A0T098,Q8M9X5,SP,Chaetosphaeridium globosum ,36,158,68.6,88.6,8.1e-09
A0T098,Q1XDA0,SP,Neopyropia yezoensis ,36,156,63.9,88.9,1.3e-08
A0T098,Q32RX8,SP,Staurastrum punctulatum ,36,152,62.9,88.6,3.2e-08
A0T098,Q8WI10,SP,Psilotum nudum ,36,151,62.9,88.6,4e-08
A0T098,Q85CI4,SP,Anthoceros angustus ,36,151,62.9,88.6,4e-08
A0T098,P51387,SP,Porphyra purpurea ,36,150,61.1,88.9,5e-08
A0T098,P12185,SP,Marchantia polymorpha ,36,150,60.0,88.6,5e-08
A0T098,Q6B8K8,SP,Gracilaria tenuistipitata var. liui ,36,150,58.3,91.7,5e-08
A0T098,Q9MUQ4,SP,Mesostigma viride ,36,149,61.1,86.1,6.3e-08
A0T098,Q3ZJ61,SP,Tupiella akineta ,36,149,58.3,88.9,6.3e-08
A0T098,Q32RL7,SP,Zygnema circumcarinatum ,36,148,60.0,88.6,7.9e-08
A0T098,O78462,SP,Guillardia theta ,36,146,55.6,88.9,1.2e-07
A0T098,Q0P3K0,SP,Ostreococcus tauri ,36,144,58.3,88.9,2e-07
A0T098,Q9TL12,SP,Nephroselmis olivacea ,36,143,55.6,88.9,2.5e-07
A0T098,Q20F22,SP,Oltmannsiellopsis viridis ,36,141,58.3,88.9,3.9e-07
A0T098,P28251,SP,Angiopteris lygodiifolia ,36,140,60.0,85.7,4.9e-07
A0T099,A0T099,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,44,284,100.0,100.0,6.6e-19
A0T099,P49513,SP,Trieres chinensis ,44,277,95.5,100.0,2.8e-18
A0T099,O96812,SP,Skeletonema costatum ,44,268,86.4,100.0,1.8e-17
A0T099,A0T0S8,SP,Thalassiosira pseudonana ,44,268,86.4,100.0,1.8e-17
A0T099,P51317,SP,Porphyra purpurea ,45,242,82.9,100.0,3.9e-15
A0T099,Q10XU6,SP,Trichodesmium erythraeum (strain IMS101) ,45,241,77.8,95.6,4.8e-15
A0T099,Q3M4K0,SP,Trichormus variabilis (strain ATCC 29413 / PCC 7937) ,45,241,80.0,95.6,4.8e-15
A0T099,Q8YYG5,SP,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) ,45,241,80.0,95.6,4.8e-15
A0T099,Q79AV1,SP,Synechococcus elongatus (strain PCC 7942 / FACHB-805) ,45,240,77.8,95.6,5.9e-15
A0T099,Q1XDH0,SP,Neopyropia yezoensis ,45,240,78.0,100.0,5.9e-15
A0T099,B2J4T9,SP,Nostoc punctiforme (strain ATCC 29133 / PCC 73102) ,45,240,77.8,95.6,5.9e-15
A0T099,P14089,SP,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) ,45,240,77.8,95.6,5.9e-15
A0T099,O78504,SP,Guillardia theta ,45,233,75.6,97.6,2.5e-14
A0T099,Q6B8V0,SP,Gracilaria tenuistipitata var. liui ,45,233,68.2,95.5,2.5e-14
A0T099,Q32RW6,SP,Staurastrum punctulatum ,58,234,76.2,100.0,2.5e-14
A0T099,B1XMN4,SP,Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) ,45,231,73.3,95.6,3.7e-14
A0T099,B0JSW8,SP,Microcystis aeruginosa (strain NIES-843 / IAM M-2473) ,45,231,73.3,95.6,3.7e-14
A0T099,B0C6Z7,SP,Acaryochloris marina (strain MBIC 11017) ,45,229,73.3,93.3,5.7e-14
A0T099,B7K989,SP,Gloeothece citriformis (strain PCC 7424) ,45,229,75.6,97.6,5.7e-14
A0T099,Q32RP3,SP,Zygnema circumcarinatum ,58,230,73.8,100.0,5.8e-14
A0T0A0,A0T0A0,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,37,228,100.0,100.0,3.1e-15
A0T0A0,O96811,SP,Skeletonema costatum ,37,222,94.6,100.0,1.2e-14
A0T0A0,P49470,SP,Trieres chinensis ,37,222,94.6,100.0,1.2e-14
A0T0A0,A0T0S7,SP,Thalassiosira pseudonana ,37,222,94.6,100.0,1.2e-14
A0T0A0,P14236,SP,Cyanophora paradoxa ,37,200,86.1,94.4,1.6e-12
A0T0A0,Q6B8U9,SP,Gracilaria tenuistipitata var. liui ,37,186,82.9,94.3,3.5e-11
A0T0A0,A6MVZ4,SP,Rhodomonas salina ,37,184,80.0,91.4,5.4e-11
A0T0A0,O78505,SP,Guillardia theta ,37,182,80.0,88.6,8.5e-11
A0T0A0,P74149,SP,Synechocystis sp. (strain PCC 6803 / Kazusa) ,38,179,73.0,89.2,1.7e-10
A0T0A0,Q4G378,SP,Emiliania huxleyi ,37,178,80.0,88.6,2.1e-10
A0T0A0,Q32RH6,SP,Zygnema circumcarinatum ,37,176,70.3,91.9,3.2e-10
A0T0A0,Q32RT5,SP,Staurastrum punctulatum ,37,175,70.3,91.9,4e-10
A0T0A0,Q8M9Y4,SP,Chaetosphaeridium globosum ,37,174,72.2,91.7,5e-10
A0T0A0,Q1ACI5,SP,Chara vulgaris ,37,174,70.3,91.9,5e-10
A0T0A0,B7JUD9,SP,Rippkaea orientalis (strain PCC 8801) ,38,174,70.3,89.2,5.2e-10
A0T0A0,Q1XDG9,SP,Neopyropia yezoensis ,37,172,74.3,94.3,7.8e-10
A0T0A0,P12120,SP,Marchantia polymorpha ,37,172,70.3,91.9,7.8e-10
A0T0A0,Q1KVX1,SP,Tetradesmus obliquus ,37,172,76.5,91.2,7.8e-10
A0T0A0,Q06SI0,SP,Stigeoclonium helveticum ,37,172,76.5,91.2,7.8e-10
A0T0A0,B2X1V8,SP,Oedogonium cardiacum ,37,172,76.5,91.2,7.8e-10
A0T0A1,A0T0A1,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,31,201,100.0,100.0,1e-13
A0T0A1,P49524,SP,Trieres chinensis ,31,178,87.1,96.8,2.3e-11
A0T0A1,A0T0U4,SP,Thalassiosira pseudonana ,31,158,74.2,96.8,2.5e-09
A0T0A1,Q4G3B0,SP,Emiliania huxleyi ,31,92,45.2,87.1,0.014
A0T0A1,Q1XDR6,SP,Neopyropia yezoensis ,31,87,41.9,87.1,0.047
A0T0A1,O78468,SP,Guillardia theta ,31,86,41.9,87.1,0.059
A0T0A1,P51221,SP,Porphyra purpurea ,31,83,50.0,87.5,0.12
A0T0A1,A6MVV7,SP,Rhodomonas salina ,31,83,41.9,83.9,0.12
A0T0A1,P96641,SP,Bacillus subtilis (strain 168) ,174,86,48.0,76.0,0.26
A0T0A1,A7M981,SP,Cuscuta reflexa ,31,74,41.9,77.4,1.0
A0T0A1,Q06RB4,SP,Jasminum nudiflorum ,31,69,38.7,77.4,3.2
A0T0A1,Q06FK8,SP,Pelargonium hortorum ,31,69,38.7,77.4,3.2
A0T0A1,Q68RY8,SP,Panax ginseng ,31,69,38.7,77.4,3.2
A0T0A1,A2T351,SP,Angiopteris evecta ,31,68,47.1,70.6,4.1
A0T0A1,Q2PMR6,SP,Glycine max ,31,68,38.7,74.2,4.1
A0T0A1,Q332W0,SP,Lactuca sativa ,31,68,38.7,77.4,4.1
A0T0A1,Q0G9U4,SP,Daucus carota ,31,68,41.9,77.4,4.1
A0T0A1,P83795,SP,Mastigocladus laminosus ,32,68,35.7,85.7,4.2
A0T0A1,A0A353,SP,Coffea arabica ,31,67,38.7,77.4,5.2
A0T0A1,Q1KXU1,SP,Helianthus annuus ,31,67,35.5,77.4,5.2
A0T0A2,A0T0A2,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,181,1152,100.0,100.0,2e-73
A0T0A2,A0T0U3,SP,Thalassiosira pseudonana ,181,966,78.5,95.0,1.9e-60
A0T0A2,P49526,SP,Trieres chinensis ,181,949,77.9,93.4,2.9e-59
A0T0A2,P51220,SP,Porphyra purpurea ,186,724,57.6,86.4,1.5e-43
A0T0A2,Q1XDR7,SP,Neopyropia yezoensis ,186,707,57.1,86.3,2.2e-42
A0T0A2,Q6B8P5,SP,Gracilaria tenuistipitata var. liui ,184,656,54.5,83.1,8e-39
A0T0A2,A6MVV6,SP,Rhodomonas salina ,179,650,53.4,82.6,2e-38
A0T0A2,Q19V70,SP,Chlorokybus atmophyticus ,189,648,52.5,83.1,3e-38
A0T0A2,Q20EU3,SP,Oltmannsiellopsis viridis ,182,634,51.4,84.4,2.7e-37
A0T0A2,Q118V7,SP,Trichodesmium erythraeum (strain IMS101) ,187,634,52.5,82.7,2.8e-37
A0T0A2,Q4G3A9,SP,Emiliania huxleyi ,174,624,52.9,82.4,1.3e-36
A0T0A2,Q3ZJ14,SP,Tupiella akineta ,182,613,48.9,83.1,7.8e-36
A0T0A2,B2J2W1,SP,Nostoc punctiforme (strain ATCC 29133 / PCC 73102) ,189,602,49.7,79.9,4.8e-35
A0T0A2,B7JVR2,SP,Rippkaea orientalis (strain PCC 8801) ,188,600,49.7,81.4,6.6e-35
A0T0A2,Q06SF8,SP,Stigeoclonium helveticum ,183,594,47.8,81.1,1.7e-34
A0T0A2,Q9MUN8,SP,Mesostigma viride ,187,593,45.2,83.6,2e-34
A0T0A2,Q5N3Q6,SP,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) ,188,590,49.7,78.9,3.3e-34
A0T0A2,Q9TKZ3,SP,Nephroselmis olivacea ,183,589,46.4,80.4,3.7e-34
A0T0A2,B0JTK0,SP,Microcystis aeruginosa (strain NIES-843 / IAM M-2473) ,188,588,48.0,81.4,4.5e-34
A0T0A2,Q3MDS1,SP,Trichormus variabilis (strain ATCC 29413 / PCC 7937) ,198,586,49.2,80.2,6.6e-34
A0T0A3,P49473,SP,Trieres chinensis ,84,563,100.0,100.0,4.9e-38
A0T0A3,A0T0A3,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,84,563,100.0,100.0,4.9e-38
A0T0A3,A0T0U2,SP,Thalassiosira pseudonana ,84,558,96.4,100.0,1.2e-37
A0T0A3,Q6B8K4,SP,Gracilaria tenuistipitata var. liui ,84,553,94.0,100.0,3.1e-37
A0T0A3,P51391,SP,Porphyra purpurea ,84,546,92.9,100.0,1.1e-36
A0T0A3,Q1XD96,SP,Neopyropia yezoensis ,84,546,92.9,100.0,1.1e-36
A0T0A3,O78466,SP,Guillardia theta ,84,546,92.9,100.0,1.1e-36
A0T0A3,Q4G380,SP,Emiliania huxleyi ,84,539,95.2,100.0,4e-36
A0T0A3,Q9TM20,SP,Cyanidium caldarium ,84,511,83.3,100.0,6.6e-34
A0T0A3,Q85FQ2,SP,Cyanidioschyzon merolae (strain NIES-3377 / 10D) ,81,510,90.0,98.8,7.6e-34
A0T0A3,Q5N556,SP,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) ,83,465,75.3,97.5,2.9e-30
A0T0A3,Q8KPP3,SP,Synechococcus elongatus (strain PCC 7942 / FACHB-805) ,83,465,75.3,97.5,2.9e-30
A0T0A3,Q10YT0,SP,Trichodesmium erythraeum (strain IMS101) ,82,461,73.2,97.6,6e-30
A0T0A3,Q9TKY1,SP,Nephroselmis olivacea ,83,458,77.8,95.1,1.1e-29
A0T0A3,Q9MUQ0,SP,Mesostigma viride ,81,455,82.3,96.2,1.8e-29
A0T0A3,Q0P3N6,SP,Ostreococcus tauri ,82,450,76.6,97.4,4.5e-29
A0T0A3,Q1ACI7,SP,Chara vulgaris ,83,449,72.8,97.5,5.5e-29
A0T0A3,Q8M9W8,SP,Chaetosphaeridium globosum ,83,448,74.1,96.3,6.5e-29
A0T0A3,P19152,SP,Cyanophora paradoxa ,74,443,79.2,100.0,1.4e-28
A0T0A3,B0JLV1,SP,Microcystis aeruginosa (strain NIES-843 / IAM M-2473) ,81,443,73.4,97.5,1.6e-28
A0T0A4,A0T0A4,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,43,291,100.0,100.0,4.3e-20
A0T0A4,P49474,SP,Trieres chinensis ,43,286,97.7,100.0,1.2e-19
A0T0A4,A0T0U1,SP,Thalassiosira pseudonana ,43,285,95.3,100.0,1.5e-19
A0T0A4,P51390,SP,Porphyra purpurea ,44,252,86.4,95.5,1.6e-16
A0T0A4,Q1XD97,SP,Neopyropia yezoensis ,44,252,86.4,95.5,1.6e-16
A0T0A4,Q6B8K5,SP,Gracilaria tenuistipitata var. liui ,44,245,85.0,97.5,7.1e-16
A0T0A4,O78465,SP,Guillardia theta ,42,243,81.4,97.7,1e-15
A0T0A4,Q9TM21,SP,Cyanidium caldarium ,43,242,81.4,95.3,1.3e-15
A0T0A4,Q4G381,SP,Emiliania huxleyi ,42,241,85.0,97.5,1.6e-15
A0T0A4,Q85FQ3,SP,Cyanidioschyzon merolae (strain NIES-3377 / 10D) ,40,234,86.5,97.3,6.5e-15
A0T0A4,Q3MC10,SP,Trichormus variabilis (strain ATCC 29413 / PCC 7937) ,45,230,80.0,95.0,1.7e-14
A0T0A4,Q8YQI1,SP,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) ,45,227,77.5,95.0,3.2e-14
A0T0A4,B7K625,SP,Rippkaea orientalis (strain PCC 8801) ,44,225,71.4,95.2,4.8e-14
A0T0A4,Q8RSW2,SP,Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) ,43,224,72.1,93.0,5.8e-14
A0T0A4,Q10YS9,SP,Trichodesmium erythraeum (strain IMS101) ,44,224,71.4,92.9,5.9e-14
A0T0A4,B0JLV0,SP,Microcystis aeruginosa (strain NIES-843 / IAM M-2473) ,44,223,75.0,92.5,7.3e-14
A0T0A4,B2J6T1,SP,Nostoc punctiforme (strain ATCC 29133 / PCC 73102) ,45,223,77.5,95.0,7.4e-14
A0T0A4,P09191,SP,Synechocystis sp. (strain PCC 6803 / Kazusa) ,44,221,73.2,92.7,1.1e-13
A0T0A4,P19153,SP,Cyanophora paradoxa ,42,220,77.5,95.0,1.3e-13
A0T0A4,B7KH61,SP,Gloeothece citriformis (strain PCC 7424) ,44,220,78.9,94.7,1.4e-13
A0T0A5,A0T0A5,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,38,250,100.0,100.0,7.7e-18
A0T0A5,P49514,SP,Trieres chinensis ,38,250,100.0,100.0,7.7e-18
A0T0A5,A0T0U0,SP,Thalassiosira pseudonana ,38,250,100.0,100.0,7.7e-18
A0T0A5,A6MVV3,SP,Rhodomonas salina ,38,237,92.1,97.4,1.5e-16
A0T0A5,O78464,SP,Guillardia theta ,38,236,89.5,97.4,1.8e-16
A0T0A5,Q85FQ4,SP,Cyanidioschyzon merolae (strain NIES-3377 / 10D) ,38,233,89.5,94.7,3.6e-16
A0T0A5,Q32RJ7,SP,Zygnema circumcarinatum ,38,232,92.1,97.4,4.6e-16
A0T0A5,Q5SD41,SP,Huperzia lucidula ,38,232,92.1,97.4,4.6e-16
A0T0A5,P60151,SP,Marchantia polymorpha ,38,232,92.1,97.4,4.6e-16
A0T0A5,Q6B8K6,SP,Gracilaria tenuistipitata var. liui ,38,232,89.5,97.4,4.6e-16
A0T0A5,Q6YXL7,SP,Physcomitrium patens ,38,232,92.1,97.4,4.6e-16
A0T0A5,P60152,SP,Psilotum nudum ,38,232,92.1,97.4,4.6e-16
A0T0A5,A2T348,SP,Angiopteris evecta ,38,231,92.1,97.4,5.7e-16
A0T0A5,Q4G382,SP,Emiliania huxleyi ,38,230,89.5,97.4,7.2e-16
A0T0A5,Q0P3N8,SP,Ostreococcus tauri ,38,229,92.1,100.0,9e-16
A0T0A5,Q8M9W9,SP,Chaetosphaeridium globosum ,38,228,89.5,97.4,1.1e-15
A0T0A5,P51389,SP,Porphyra purpurea ,38,228,86.8,97.4,1.1e-15
A0T0A5,Q1XD98,SP,Neopyropia yezoensis ,38,228,86.8,97.4,1.1e-15
A0T0A5,Q85A78,SP,Anthoceros angustus ,38,227,89.5,97.4,1.4e-15
A0T0A5,Q9TKY3,SP,Nephroselmis olivacea ,38,226,89.5,97.4,1.8e-15
A0T0A6,A0T0A6,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,39,251,100.0,100.0,3.4e-16
A0T0A6,P49512,SP,Trieres chinensis ,39,232,89.7,100.0,1.8e-14
A0T0A6,A0T0T9,SP,Thalassiosira pseudonana ,39,224,84.6,100.0,1e-13
A0T0A6,Q6B8K7,SP,Gracilaria tenuistipitata var. liui ,39,214,79.5,97.4,8.3e-13
A0T0A6,Q85FQ5,SP,Cyanidioschyzon merolae (strain NIES-3377 / 10D) ,39,213,79.5,97.4,1e-12
A0T0A6,P51388,SP,Porphyra purpurea ,39,210,79.5,97.4,1.9e-12
A0T0A6,Q1XD99,SP,Neopyropia yezoensis ,39,209,79.5,97.4,2.4e-12
A0T0A6,A6MVV2,SP,Rhodomonas salina ,39,197,71.8,94.9,3e-11
A0T0A6,Q9TM23,SP,Cyanidium caldarium ,39,195,74.4,89.7,4.6e-11
A0T0A6,P13555,SP,Pisum sativum ,40,194,72.5,92.5,5.8e-11
A0T0A6,O78463,SP,Guillardia theta ,39,193,66.7,94.9,6.9e-11
A0T0A6,P19053,SP,Secale cereale ,40,192,72.5,92.5,8.8e-11
A0T0A6,Q6YXL6,SP,Physcomitrium patens ,40,192,72.5,90.0,8.8e-11
